index;roots;terms;sents
292;kommen;baujahr;nach einiger recherche bin ich auf den audi 80 1.8s mit 90ps und baujahr zwischen 1986 und 1991 gekommen.
293;kommen;90ps;nach einiger recherche bin ich auf den audi 80 1.8s mit 90ps und baujahr zwischen 1986 und 1991 gekommen.
294;kommen;1.8s;nach einiger recherche bin ich auf den audi 80 1.8s mit 90ps und baujahr zwischen 1986 und 1991 gekommen.
295;angenehm sein;versicherungsbeiträge;vor allem wegen des niedrigen typklassen-werts wodurch die versicherungsbeiträge sehr angenehm sind.
296;angenehm sein;typklassen-werts;vor allem wegen des niedrigen typklassen-werts wodurch die versicherungsbeiträge sehr angenehm sind.
297;unterhaltskosten sein;unterhaltskosten;und da sind wir auch schon beim größten thema: unterhaltskosten.  
298;unterhaltskosten sein;thema;und da sind wir auch schon beim größten thema: unterhaltskosten.  
299;sparen;auto;ein auto ist leider unumgäglich jedoch möchte ich sparen wo ich kann.
300;gründe;audi;gründe deshalb für den audi b3:
301;gründe;b3;gründe deshalb für den audi b3:
302;gründe;gründe;gründe deshalb für den audi b3:
303;liegen;muss;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
304;liegen;-versicherung;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
305;liegen;€;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
306;liegen;jahren;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
307;liegen;jahr;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
308;liegen;"; -versicherung";"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
309;liegen;führerscheinbesitz;"; -versicherung für mich (muss neu eingestuft werden) mit 20 jahren und 3 jahren führerscheinbesitz liegt bei 400-600€ teilkasko pro jahr ;"
310;erfüllen;norm;-steuer (wenn bereits die euro 2 norm erfüllt wird -
311;erfüllen;-steuer;-steuer (wenn bereits die euro 2 norm erfüllt wird -
312;erfüllen;euro;-steuer (wenn bereits die euro 2 norm erfüllt wird -
313;liegen;hauptkriterium;"ein hauptkriterium für einen potentiellen kauf) liegt bei ca. 130€ pro jahr ;"
314;liegen;kauf;"ein hauptkriterium für einen potentiellen kauf) liegt bei ca. 130€ pro jahr ;"
315;liegen;jahr;"ein hauptkriterium für einen potentiellen kauf) liegt bei ca. 130€ pro jahr ;"
316;-vollverzinkte;-vollverzinkte;-vollverzinkte
317;karosserie;karosserie;karosserie
318;rost;rost;"wenig/kein rost, ein grund weniger durch den tüv zu fallen, gute substanz ;"
319;rost;tüv;"wenig/kein rost, ein grund weniger durch den tüv zu fallen, gute substanz ;"
320;rost;wenig/kein rost;"wenig/kein rost, ein grund weniger durch den tüv zu fallen, gute substanz ;"
321;rost;substanz;"wenig/kein rost, ein grund weniger durch den tüv zu fallen, gute substanz ;"
322;rost;grund;"wenig/kein rost, ein grund weniger durch den tüv zu fallen, gute substanz ;"
323;soll;verbindung;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
324;soll;moment;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
325;soll;motor;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
326;soll;-1.8s motor;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
327;soll;euro;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
328;soll;wartungen;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
329;soll;pm;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
330;soll;-1.8s;-1.8s motor soll ja sehr langlebig sein (im moment peile ich den pm an, verbindung mit euro 2 und sparsamer als die anderen) und wartungen lassen sich größtenteils selbst machen.
331;wagen;-generell;"-generell ein sehr sparsamer wagen ;"
332;finden;image;"-design und image finde ich persönlich passend, als ""fahranfänger"" mit einer ""rentnerkarre""."
333;finden;-design;"-design und image finde ich persönlich passend, als ""fahranfänger"" mit einer ""rentnerkarre""."
334;finden;fahranfänger;"-design und image finde ich persönlich passend, als ""fahranfänger"" mit einer ""rentnerkarre""."
335;finden;rentnerkarre;"-design und image finde ich persönlich passend, als ""fahranfänger"" mit einer ""rentnerkarre""."
336;sollen;-anschaffungspreis;"-anschaffungspreis sollte so zwischen 1000-2000€ liegen ;"
337;habe;bisschen;ich habe kein problem damit, notwendige reparaturen selber zu machen und ein bisschen zu basteln.
338;habe;problem;ich habe kein problem damit, notwendige reparaturen selber zu machen und ein bisschen zu basteln.
339;habe;reparaturen;ich habe kein problem damit, notwendige reparaturen selber zu machen und ein bisschen zu basteln.
340;insofern;dinge;jedenfalls insofern, dass das tägliche fahren nicht drunter leidet und die dinge ohne spezielles werkzeug/hebebühne gemacht werden können.
341;insofern;spezielles;jedenfalls insofern, dass das tägliche fahren nicht drunter leidet und die dinge ohne spezielles werkzeug/hebebühne gemacht werden können.
342;liegen;fokus;der fokus liegt wie schon erwähnt auf dem täglichen fahren und dabei gleichzeitig zu sparen.
343;liegen;täglichen;der fokus liegt wie schon erwähnt auf dem täglichen fahren und dabei gleichzeitig zu sparen.
344;fragen;frage;deshalb nun meine frage(n):
345;-glaubt;auto;"; -glaubt ihr, dass der b3 in diesem fall das richtige auto ist?"
346;-glaubt;b3;"; -glaubt ihr, dass der b3 in diesem fall das richtige auto ist?"
347;-glaubt;"; -glaubt";"; -glaubt ihr, dass der b3 in diesem fall das richtige auto ist?"
348;-glaubt;-glaubt;"; -glaubt ihr, dass der b3 in diesem fall das richtige auto ist?"
349;-glaubt;fall;"; -glaubt ihr, dass der b3 in diesem fall das richtige auto ist?"
350;sein;verbrauch;"; -wie sind eure erfahrungen mit dem verbrauch (kurzstrecke, langstrecke)?"
351;sein;erfahrungen;"; -wie sind eure erfahrungen mit dem verbrauch (kurzstrecke, langstrecke)?"
352;sein;langstrecke;"; -wie sind eure erfahrungen mit dem verbrauch (kurzstrecke, langstrecke)?"
353;sein;kurzstrecke;"; -wie sind eure erfahrungen mit dem verbrauch (kurzstrecke, langstrecke)?"
354;sein;-wie;"; -wie sind eure erfahrungen mit dem verbrauch (kurzstrecke, langstrecke)?"
355;hoch sein;wartungsaufwand;-wie hoch ist der wartungsaufwand und was kommen da für kosten auf einen zu?
356;hoch sein;kosten;-wie hoch ist der wartungsaufwand und was kommen da für kosten auf einen zu?
357;sollen;sachen;es irgendwelche ganz typischen kinderkrankheiten o.ä. und sachen auf die man beim kauf unbedingt achten sollte?
358;sollen;kauf;es irgendwelche ganz typischen kinderkrankheiten o.ä. und sachen auf die man beim kauf unbedingt achten sollte?
359;sollen;o.ä.;es irgendwelche ganz typischen kinderkrankheiten o.ä. und sachen auf die man beim kauf unbedingt achten sollte?
360;kennen;autos;-und zu guter letzt: kennt ihr alternative autos, die die gleichen bedingungen erfüllen?
361;kennen;alternative autos;-und zu guter letzt: kennt ihr alternative autos, die die gleichen bedingungen erfüllen?
362;kennen;bedingungen;-und zu guter letzt: kennt ihr alternative autos, die die gleichen bedingungen erfüllen?
363;machen;lesen;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
364;machen;art;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
365;machen;weise;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
366;machen;b4s;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
367;machen;überblick;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
368;machen;motoren;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
369;machen;situation;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
370;machen;teilen;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
371;machen;80/90er;das habe ich zu großen teilen auch schon gemacht, nur würde ich mir auf diese art und weise gerne einmal einen eignen überblick zu meiner persönlichen situation machen und nicht zwischen den zeilen lesen wenn es um 80/90er oder b4s oder 2.0er motoren geht.
372;hoffen;verständnis;ich hoffe ihr habt verständnis und habt ein paar kluge antworten.
373;hoffen;kluge;ich hoffe ihr habt verständnis und habt ein paar kluge antworten.
374;gut sein;idee;"die idee mit dem audi 80 ist schon mal gut. ;"
375;gut sein;audi;"die idee mit dem audi 80 ist schon mal gut. ;"
376;sich;unterstützung;such dir einen aus, bei dem du im netz gute unterstützung hast.  
377;sich;netz;such dir einen aus, bei dem du im netz gute unterstützung hast.  
378;mach;b.;"z. b. www.audi-80-scene ; mach so weiter"
379;mach;www.audi-80-scene;"z. b. www.audi-80-scene ; mach so weiter"
380;vorschlagen;b5;".... ; als alternative würde ich den wesentlichen jüngeren, moderneren a4 b5 vorschlagen."
381;vorschlagen;jüngeren;".... ; als alternative würde ich den wesentlichen jüngeren, moderneren a4 b5 vorschlagen."
382;vorschlagen;a4;".... ; als alternative würde ich den wesentlichen jüngeren, moderneren a4 b5 vorschlagen."
383;vorschlagen;alternative;".... ; als alternative würde ich den wesentlichen jüngeren, moderneren a4 b5 vorschlagen."
384;fahren;typ;der fährt sich auch deutlich besser als der hölzerne typ 89.
385;musst;wahl;du musst dir bei der wahl dieses audi
386;musst;audi;du musst dir bei der wahl dieses audi
387;fahren mein;fährst;80 schon im klaren sein, dass du praktisch einen oldtimer fährst.
388;nicht gehen;erhaltene exemplare;"gut erhaltene exemplare sind nicht so leicht zu finden sollten eher in liebhaberhände gehen. ;"
389;nicht gehen;exemplare;"gut erhaltene exemplare sind nicht so leicht zu finden sollten eher in liebhaberhände gehen. ;"
390;schau;schau;schau
391;nen;nen;dir nen
392;iv;golf;golf iv an.
393;günstig;karosse;relativ günstig, gute karosse, abs, airbag und klima drinnen.
394;günstig;airbag;relativ günstig, gute karosse, abs, airbag und klima drinnen.
395;günstig;abs;relativ günstig, gute karosse, abs, airbag und klima drinnen.
396;günstig;klima;relativ günstig, gute karosse, abs, airbag und klima drinnen.
397;.;b4;b4.
398;haben;klima;"der hat zumindest immer abs und mit etwas glück auch airbag und klima. ;   "
399;haben;airbag;"der hat zumindest immer abs und mit etwas glück auch airbag und klima. ;   "
400;haben;glück;"der hat zumindest immer abs und mit etwas glück auch airbag und klima. ;   "
401;";";b5;";   ; b5 würde ich aufgrund der teuren mehrlenkerachse nicht nehmen."
402;";";mehrlenkerachse;";   ; b5 würde ich aufgrund der teuren mehrlenkerachse nicht nehmen."
403;kosten;spurvermessung;die teile ohne einbau kosten knapp 500€. beim selber einbauen kommt dann mindestens noch die spurvermessung mit etwa 120€ hinzu.
404;kosten;teile;die teile ohne einbau kosten knapp 500€. beim selber einbauen kommt dann mindestens noch die spurvermessung mit etwa 120€ hinzu.
405;kosten;einbau;die teile ohne einbau kosten knapp 500€. beim selber einbauen kommt dann mindestens noch die spurvermessung mit etwa 120€ hinzu.
406;kosten;500€.;die teile ohne einbau kosten knapp 500€. beim selber einbauen kommt dann mindestens noch die spurvermessung mit etwa 120€ hinzu.
407;selten mein;vw;"; wobei fraglich ist, ob man aus dem vw konzern für 2k was brauchbares bekommt, wenn reparaturen usw. selten sein sollen."
408;selten mein;brauchbares;"; wobei fraglich ist, ob man aus dem vw konzern für 2k was brauchbares bekommt, wenn reparaturen usw. selten sein sollen."
409;selten mein;konzern;"; wobei fraglich ist, ob man aus dem vw konzern für 2k was brauchbares bekommt, wenn reparaturen usw. selten sein sollen."
410;selten mein;reparaturen;"; wobei fraglich ist, ob man aus dem vw konzern für 2k was brauchbares bekommt, wenn reparaturen usw. selten sein sollen."
411;seltenheit sein;teilen;"und 2k an reparaturen bei nem alten auto sind jetzt selbst in teilen gerechnet keine seltenheit. ;   "
412;seltenheit sein;auto;"und 2k an reparaturen bei nem alten auto sind jetzt selbst in teilen gerechnet keine seltenheit. ;   "
413;seltenheit sein;seltenheit;"und 2k an reparaturen bei nem alten auto sind jetzt selbst in teilen gerechnet keine seltenheit. ;   "
414;seltenheit sein;reparaturen;"und 2k an reparaturen bei nem alten auto sind jetzt selbst in teilen gerechnet keine seltenheit. ;   "
415;sollen;japanern;"; ggf. solltest du dich mal bei den japanern (mazda, subaru, toyota) umschauen."
416;sollen;mazda;"; ggf. solltest du dich mal bei den japanern (mazda, subaru, toyota) umschauen."
417;sollen;toyota;"; ggf. solltest du dich mal bei den japanern (mazda, subaru, toyota) umschauen."
418;sollen;subaru;"; ggf. solltest du dich mal bei den japanern (mazda, subaru, toyota) umschauen."
419;empfehlen;golf;"ich würde als ""daily"" auch einen golf 4 empfehlen."
420;empfehlen;daily;"ich würde als ""daily"" auch einen golf 4 empfehlen."
421;schaden erhalten;b3;"einen b3 eigentlich nur als oldtimer, wenn er gut erhalten oder restauriert ist, ist er für ""daily"" zu schade... ;"
422;schaden erhalten;oldtimer;"einen b3 eigentlich nur als oldtimer, wenn er gut erhalten oder restauriert ist, ist er für ""daily"" zu schade... ;"
423;schaden erhalten;daily;"einen b3 eigentlich nur als oldtimer, wenn er gut erhalten oder restauriert ist, ist er für ""daily"" zu schade... ;"
424;bekommen;wartungsstau;guterhaltene rentnerautos ohne wartungsstau bekommt man sicher auch von anderen herstellern, aber da fehlt es mir an kenntnissen und erfahrungen.
425;bekommen;erfahrungen;guterhaltene rentnerautos ohne wartungsstau bekommt man sicher auch von anderen herstellern, aber da fehlt es mir an kenntnissen und erfahrungen.
426;bekommen;rentnerautos;guterhaltene rentnerautos ohne wartungsstau bekommt man sicher auch von anderen herstellern, aber da fehlt es mir an kenntnissen und erfahrungen.
427;bekommen;guterhaltene rentnerautos;guterhaltene rentnerautos ohne wartungsstau bekommt man sicher auch von anderen herstellern, aber da fehlt es mir an kenntnissen und erfahrungen.
428;bekommen;kenntnissen;guterhaltene rentnerautos ohne wartungsstau bekommt man sicher auch von anderen herstellern, aber da fehlt es mir an kenntnissen und erfahrungen.
429;geb;senf;"ich geb hier auch mal meinen senf dazu  ;"
430;finden;t89;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
431;finden;a3;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
432;finden;fahrwerk;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
433;finden;fahrverhalten;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
434;finden;8l;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
435;finden;winter;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
436;finden;typ89;"vom fahrverhalten her finde ich die typ89 schön, habe mir jetzt für den winter zu meinem t89 noch einen a3 8l von 99 geholt und finde den vom fahrwerk her geradezu rumpelig/unkomfortabel gegen meinen 90er  ;"
437;wagen;schöner wagen;ein schöner wagen.
438;wagen;wagen;ein schöner wagen.
439;freuen;sommer;"ich freue mich auf den sommer  ;"
440;muss;vorrednern;in einem punkt muss ich meinen vorrednern allerdings recht geben:
441;muss;punkt;in einem punkt muss ich meinen vorrednern allerdings recht geben:
442;muss;recht;in einem punkt muss ich meinen vorrednern allerdings recht geben:
443;jahre sein;anfängerauto;der 80er war ein super günstiges anfängerauto, das ist jetzt aber 10 jahre her.
444;jahre sein;80er;der 80er war ein super günstiges anfängerauto, das ist jetzt aber 10 jahre her.
445;jahre sein;jahre;der 80er war ein super günstiges anfängerauto, das ist jetzt aber 10 jahre her.
446;jahre sein;super;der 80er war ein super günstiges anfängerauto, das ist jetzt aber 10 jahre her.
447;verheizen;zeit;"zu dieser zeit wurden leider auch einige schönen exemplare ""verheizt"" ;"
448;verheizen;schönen;"zu dieser zeit wurden leider auch einige schönen exemplare ""verheizt"" ;"
449;verheizen;verheizt;"zu dieser zeit wurden leider auch einige schönen exemplare ""verheizt"" ;"
450;verheizen;exemplare;"zu dieser zeit wurden leider auch einige schönen exemplare ""verheizt"" ;"
451;kaufen;auto;"bedenke, du willst hier ein auto kaufen was bis 91 gebaut wurde, d.h. der wagen ist mindestens 29 jahre alt! ;"
452;kaufen;jahre;"bedenke, du willst hier ein auto kaufen was bis 91 gebaut wurde, d.h. der wagen ist mindestens 29 jahre alt! ;"
453;kaufen;d.h.;"bedenke, du willst hier ein auto kaufen was bis 91 gebaut wurde, d.h. der wagen ist mindestens 29 jahre alt! ;"
454;kaufen;bedenke;"bedenke, du willst hier ein auto kaufen was bis 91 gebaut wurde, d.h. der wagen ist mindestens 29 jahre alt! ;"
455;kaufen;wagen;"bedenke, du willst hier ein auto kaufen was bis 91 gebaut wurde, d.h. der wagen ist mindestens 29 jahre alt! ;"
456;wertarbeit haben;tolle;trotz das die audis echt solide tolle wertarbeit waren wird dein oldie probleme haben und liebe benötigen.
457;wertarbeit haben;oldie;trotz das die audis echt solide tolle wertarbeit waren wird dein oldie probleme haben und liebe benötigen.
458;wertarbeit haben;liebe;trotz das die audis echt solide tolle wertarbeit waren wird dein oldie probleme haben und liebe benötigen.
459;wertarbeit haben;probleme;trotz das die audis echt solide tolle wertarbeit waren wird dein oldie probleme haben und liebe benötigen.
460;wertarbeit haben;audis;trotz das die audis echt solide tolle wertarbeit waren wird dein oldie probleme haben und liebe benötigen.
461;finden;anständiges geld;"ein unverbasteltes/schönes exemplar für anständiges geld zu finden ;"
462;finden;geld;"ein unverbasteltes/schönes exemplar für anständiges geld zu finden ;"
463;teuer mein;tradition;ersatzteile werden rar und können bei audi tradition echt teuer sein.
464;teuer mein;audi;ersatzteile werden rar und können bei audi tradition echt teuer sein.
465;teuer mein;ersatzteile;ersatzteile werden rar und können bei audi tradition echt teuer sein.
466;müssen;rost;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
467;müssen;schaumstoff;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
468;müssen;zeit;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
469;müssen;innenraum;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
470;müssen;teilebeschaffung;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
471;müssen;´;du wirst viel zeit investieren müssen, das geht los von hier fällt ´ne zierleiste ab, über schaumstoff der sich im innenraum löst, über rost, über aufwendige teilebeschaffung bis hin zu motor-, und getriebeproblemen.
472;können;schraubendreher;"das können schon dinge sein die sich nicht mit nem schraubendreher und ´nem hammer lösen lassen, sondern auch echt ins geld gehen. ;"
473;können;hammer;"das können schon dinge sein die sich nicht mit nem schraubendreher und ´nem hammer lösen lassen, sondern auch echt ins geld gehen. ;"
474;können;dinge;"das können schon dinge sein die sich nicht mit nem schraubendreher und ´nem hammer lösen lassen, sondern auch echt ins geld gehen. ;"
475;können;´;"das können schon dinge sein die sich nicht mit nem schraubendreher und ´nem hammer lösen lassen, sondern auch echt ins geld gehen. ;"
476;können;geld;"das können schon dinge sein die sich nicht mit nem schraubendreher und ´nem hammer lösen lassen, sondern auch echt ins geld gehen. ;"
477;nicht machen;metall;auch zink macht metall nicht unsterblich.
478;nicht machen;zink;auch zink macht metall nicht unsterblich.
479;wollen;wahl;wenn du das auf dich nehmen willst: tolle wahl!!
480;kaufen;bj1988;ich habe meinen 90er bj1988 2013 super günstig aus erster rentnerhand gekauft, und fahre ihn bis heute als daily-driver.
481;kaufen;super;ich habe meinen 90er bj1988 2013 super günstig aus erster rentnerhand gekauft, und fahre ihn bis heute als daily-driver.
482;kaufen;daily-driver;ich habe meinen 90er bj1988 2013 super günstig aus erster rentnerhand gekauft, und fahre ihn bis heute als daily-driver.
483;kaufen;rentnerhand;ich habe meinen 90er bj1988 2013 super günstig aus erster rentnerhand gekauft, und fahre ihn bis heute als daily-driver.
484;gefahren;geschäftsreisen;auch auf geschäftsreisen usw bin ich den audi gefahren.
485;gefahren;audi;auch auf geschäftsreisen usw bin ich den audi gefahren.
486;kaufen;100.000 km;"gekauft mit 100.000km, jetzt hat er 290.000km ;"
487;kaufen;km;"gekauft mit 100.000km, jetzt hat er 290.000km ;"
488;erste sein;winter;der winter ist der erste, in dem ich was anderes fahre.
489;stehen;garage;wegen rost steht der 90er in der garage.
490;stehen;90er;wegen rost steht der 90er in der garage.
491;stehen;rost;wegen rost steht der 90er in der garage.
492;bezahlen;780 euro;"; habe damals 780 euro bezahlt."
493;bezahlen;euro;"; habe damals 780 euro bezahlt."
494;investieren;instandhaltung/wartung/reparaturen;"; habe bis heute in instandhaltung/wartung/reparaturen sicher 5000 euro investiert."
495;investieren;euro;"; habe bis heute in instandhaltung/wartung/reparaturen sicher 5000 euro investiert."
496;als;vergleich;"nur so als vergleich.. ;"
497;fahren;a;wenns nur fahren und sicher von a nach b sein soll:  
498;kaufen;neueres;"; würde eher was neueres kaufen ;"
499;erfolg;wilkommen;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
500;erfolg;80er;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
501;erfolg;erfolg;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
502;erfolg;ansonsten : erfolg;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
503;erfolg;gemeinde;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
504;erfolg;suche;"ansonsten: viel erfolg bei der suche, ich hoffe du findest einen anständigen 80er und wilkommen in der gemeinde  ;"
505;mfg;mfg;mfg  
506;denken;zeiten;"ich denke auch das die zeiten vorbei sind wo ein 80er ein günstiges anfänger auto war. ;   "
507;denken;80er;"ich denke auch das die zeiten vorbei sind wo ein 80er ein günstiges anfänger auto war. ;   "
508;denken;auto;"ich denke auch das die zeiten vorbei sind wo ein 80er ein günstiges anfänger auto war. ;   "
509;haben;garagenwagen;"; da musst du schon glück haben und noch einen gepflegten garagenwagen für wenig geld finden."
510;haben;geld;"; da musst du schon glück haben und noch einen gepflegten garagenwagen für wenig geld finden."
511;haben;glück;"; da musst du schon glück haben und noch einen gepflegten garagenwagen für wenig geld finden."
512;problem sein;alter;"; ansonsten ist das hohe alter inzwischen ein problem,  ;"
513;problem sein;hohe alter;"; ansonsten ist das hohe alter inzwischen ein problem,  ;"
514;problem sein;problem;"; ansonsten ist das hohe alter inzwischen ein problem,  ;"
515;rosten;usw;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
516;rosten;kraftstoffleitungen rosten;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
517;rosten;fault;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
518;rosten;aggregateträger;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
519;rosten;rosten;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
520;rosten;schaumstoffe;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
521;rosten;porös;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
522;rosten;innenraum;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
523;rosten;kunststoffe;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
